                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2163,                 7.5679,                 2.7221,                0.08123,                0.02672,                0.01062,                0.00253,                 3.9445,                 5.9726,                 1.8813,              5.592e-05,              5.592e-05,              5.592e-05
                      2,                 3.8878,                 4.5252,                 2.0879,                0.11604,                0.09847,                0.03439,                0.00977,                 3.5293,                 4.6425,                 1.7249,             0.00011394,             0.00011394,             0.00011394
                      3,                 3.6695,                 3.5639,                 1.9431,                0.14681,                0.12595,                0.05861,                0.01707,                 3.4194,                 4.1584,                 1.6783,             0.00017174,             0.00017174,             0.00017174
                      4,                 3.4938,                 3.0622,                 1.8621,                0.19964,                0.13588,                0.08209,                0.02237,                 3.3359,                 4.1971,                 1.7608,              0.0002293,              0.0002293,              0.0002293
                      5,                 3.3399,                 2.8074,                 1.8336,                0.21661,                0.16031,                0.09556,                0.02806,                 3.0808,                 2.4716,                 1.6632,             0.00023115,             0.00023115,             0.00023115
                      6,                 3.2845,                 2.7477,                 1.7751,                0.26096,                0.15191,                0.11212,                0.03526,                 2.9578,                 2.4411,                 1.5749,             0.00023069,             0.00023069,             0.00023069
                      7,                 3.1847,                 2.5724,                 1.7678,                0.29086,                0.15191,                0.12093,                0.04015,                 2.9411,                 2.1241,                 1.6409,             0.00023023,             0.00023023,             0.00023023
                      8,                 3.1688,                 2.5007,                 1.7827,                0.30718,                0.15802,                0.12259,                0.04345,                  2.983,                 2.5786,                 1.6206,             0.00022977,             0.00022977,             0.00022977
                      9,                  3.087,                 2.4446,                 1.7112,                0.32227,                0.16336,                0.12772,                0.04475,                 2.9872,                   2.08,                 1.6325,             0.00022931,             0.00022931,             0.00022931
                     10,                 3.0317,                 2.3183,                 1.6621,                 0.3428,                0.17634,                 0.1511,                0.05377,                 2.8381,                 2.0782,                 1.5571,             0.00022885,             0.00022885,             0.00022885
                     11,                 3.0142,                 2.3417,                 1.7006,                0.32846,                0.19466,                0.15489,                0.05543,                 2.8847,                 2.1021,                 1.5617,             0.00022839,             0.00022839,             0.00022839
                     12,                 3.0033,                 2.3366,                 1.6683,                0.34512,                 0.1855,                0.16758,                0.06137,                  2.752,                 2.0425,                 1.4828,             0.00022793,             0.00022793,             0.00022793
                     13,                 2.9601,                 2.3008,                 1.6364,                0.30923,                0.20763,                0.16525,                0.05832,                 2.6958,                 2.1201,                 1.4635,             0.00022746,             0.00022746,             0.00022746
                     14,                  2.931,                  2.237,                 1.6315,                0.34906,                 0.2145,                0.17827,                0.06407,                 2.7357,                 1.9908,                 1.5093,               0.000227,               0.000227,               0.000227
                     15,                  2.847,                 2.2177,                 1.6135,                0.36704,                0.19618,                 0.1816,                0.06735,                 2.6868,                 1.9052,                 1.4913,             0.00022654,             0.00022654,             0.00022654
                     16,                 2.8157,                 2.2695,                 1.5967,                0.41334,                0.18855,                0.18441,                0.07274,                 2.6475,                 1.9142,                 1.4609,             0.00022608,             0.00022608,             0.00022608
                     17,                 2.7684,                 2.1671,                   1.61,                0.37636,                0.20534,                0.18738,                0.07349,                 2.6503,                 1.8652,                 1.4668,             0.00022562,             0.00022562,             0.00022562
